x,sinx,cosx
-2.094395,-0.866025,-0.500000
-2.076942,-0.874620,-0.484810
-2.059489,-0.882948,-0.469472
-2.042035,-0.891007,-0.453990
-2.024582,-0.898794,-0.438371
-2.007129,-0.906308,-0.422618
-1.989675,-0.913545,-0.406737
-1.972222,-0.920505,-0.390731
-1.954769,-0.927184,-0.374607
-1.937315,-0.933580,-0.358368
-1.919862,-0.939693,-0.342020
-1.902409,-0.945519,-0.325568
-1.884956,-0.951057,-0.309017
-1.867502,-0.956305,-0.292372
-1.850049,-0.961262,-0.275637
-1.832596,-0.965926,-0.258819
-1.815142,-0.970296,-0.241922
-1.797689,-0.974370,-0.224951
-1.780236,-0.978148,-0.207912
-1.762783,-0.981627,-0.190809
-1.745329,-0.984808,-0.173648
-1.727876,-0.987688,-0.156434
-1.710423,-0.990268,-0.139173
-1.692969,-0.992546,-0.121869
-1.675516,-0.994522,-0.104528
-1.658063,-0.996195,-0.087156
-1.640609,-0.997564,-0.069756
-1.623156,-0.998630,-0.052336
-1.605703,-0.999391,-0.034899
-1.588250,-0.999848,-0.017452
-1.570796,-1.000000,0.000000
-1.553343,-0.999848,0.017452
-1.535890,-0.999391,0.034899
-1.518436,-0.998630,0.052336
-1.500983,-0.997564,0.069756
-1.483530,-0.996195,0.087156
-1.466077,-0.994522,0.104528
-1.448623,-0.992546,0.121869
-1.431170,-0.990268,0.139173
-1.413717,-0.987688,0.156434
-1.396263,-0.984808,0.173648
-1.378810,-0.981627,0.190809
-1.361357,-0.978148,0.207912
-1.343904,-0.974370,0.224951
-1.326450,-0.970296,0.241922
-1.308997,-0.965926,0.258819
-1.291544,-0.961262,0.275637
-1.274090,-0.956305,0.292372
-1.256637,-0.951057,0.309017
-1.239184,-0.945519,0.325568
-1.221730,-0.939693,0.342020
-1.204277,-0.933580,0.358368
-1.186824,-0.927184,0.374607
-1.169371,-0.920505,0.390731
-1.151917,-0.913545,0.406737
-1.134464,-0.906308,0.422618
-1.117011,-0.898794,0.438371
-1.099557,-0.891007,0.453990
-1.082104,-0.882948,0.469472
-1.064651,-0.874620,0.484810
-1.047198,-0.866025,0.500000
-1.029744,-0.857167,0.515038
-1.012291,-0.848048,0.529919
-0.994838,-0.838671,0.544639
-0.977384,-0.829038,0.559193
-0.959931,-0.819152,0.573576
-0.942478,-0.809017,0.587785
-0.925025,-0.798636,0.601815
-0.907571,-0.788011,0.615661
-0.890118,-0.777146,0.629320
-0.872665,-0.766044,0.642788
-0.855211,-0.754710,0.656059
-0.837758,-0.743145,0.669131
-0.820305,-0.731354,0.681998
-0.802851,-0.719340,0.694658
-0.785398,-0.707107,0.707107
-0.767945,-0.694658,0.719340
-0.750492,-0.681998,0.731354
-0.733038,-0.669131,0.743145
-0.715585,-0.656059,0.754710
-0.698132,-0.642788,0.766044
-0.680678,-0.629320,0.777146
-0.663225,-0.615661,0.788011
-0.645772,-0.601815,0.798636
-0.628319,-0.587785,0.809017
-0.610865,-0.573576,0.819152
-0.593412,-0.559193,0.829038
-0.575959,-0.544639,0.838671
-0.558505,-0.529919,0.848048
-0.541052,-0.515038,0.857167
-0.523599,-0.500000,0.866025
-0.506145,-0.484810,0.874620
-0.488692,-0.469472,0.882948
-0.471239,-0.453990,0.891007
-0.453786,-0.438371,0.898794
-0.436332,-0.422618,0.906308
-0.418879,-0.406737,0.913545
-0.401426,-0.390731,0.920505
-0.383972,-0.374607,0.927184
-0.366519,-0.358368,0.933580
-0.349066,-0.342020,0.939693
-0.331613,-0.325568,0.945519
-0.314159,-0.309017,0.951057
-0.296706,-0.292372,0.956305
-0.279253,-0.275637,0.961262
-0.261799,-0.258819,0.965926
-0.244346,-0.241922,0.970296
-0.226893,-0.224951,0.974370
-0.209440,-0.207912,0.978148
-0.191986,-0.190809,0.981627
-0.174533,-0.173648,0.984808
-0.157080,-0.156434,0.987688
-0.139626,-0.139173,0.990268
-0.122173,-0.121869,0.992546
-0.104720,-0.104528,0.994522
-0.087266,-0.087156,0.996195
-0.069813,-0.069756,0.997564
-0.052360,-0.052336,0.998630
-0.034907,-0.034899,0.999391
-0.017453,-0.017452,0.999848
0.000000,0.000000,1.000000
0.017453,0.017452,0.999848
0.034907,0.034899,0.999391
0.052360,0.052336,0.998630
0.069813,0.069756,0.997564
0.087266,0.087156,0.996195
0.104720,0.104528,0.994522
0.122173,0.121869,0.992546
0.139626,0.139173,0.990268
0.157080,0.156434,0.987688
0.174533,0.173648,0.984808
0.191986,0.190809,0.981627
0.209440,0.207912,0.978148
0.226893,0.224951,0.974370
0.244346,0.241922,0.970296
0.261799,0.258819,0.965926
0.279253,0.275637,0.961262
0.296706,0.292372,0.956305
0.314159,0.309017,0.951057
0.331613,0.325568,0.945519
0.349066,0.342020,0.939693
0.366519,0.358368,0.933580
0.383972,0.374607,0.927184
0.401426,0.390731,0.920505
0.418879,0.406737,0.913545
0.436332,0.422618,0.906308
0.453786,0.438371,0.898794
0.471239,0.453990,0.891007
0.488692,0.469472,0.882948
0.506145,0.484810,0.874620
0.523599,0.500000,0.866025
0.541052,0.515038,0.857167
0.558505,0.529919,0.848048
0.575959,0.544639,0.838671
0.593412,0.559193,0.829038
0.610865,0.573576,0.819152
0.628319,0.587785,0.809017
0.645772,0.601815,0.798636
0.663225,0.615661,0.788011
0.680678,0.629320,0.777146
0.698132,0.642788,0.766044
0.715585,0.656059,0.754710
0.733038,0.669131,0.743145
0.750492,0.681998,0.731354
0.767945,0.694658,0.719340
0.785398,0.707107,0.707107
0.802851,0.719340,0.694658
0.820305,0.731354,0.681998
0.837758,0.743145,0.669131
0.855211,0.754710,0.656059
0.872665,0.766044,0.642788
0.890118,0.777146,0.629320
0.907571,0.788011,0.615661
0.925025,0.798636,0.601815
0.942478,0.809017,0.587785
0.959931,0.819152,0.573576
0.977384,0.829038,0.559193
0.994838,0.838671,0.544639
1.012291,0.848048,0.529919
1.029744,0.857167,0.515038
1.047198,0.866025,0.500000
1.064651,0.874620,0.484810
1.082104,0.882948,0.469472
1.099557,0.891007,0.453990
1.117011,0.898794,0.438371
1.134464,0.906308,0.422618
1.151917,0.913545,0.406737
1.169371,0.920505,0.390731
1.186824,0.927184,0.374607
1.204277,0.933580,0.358368
1.221730,0.939693,0.342020
1.239184,0.945519,0.325568
1.256637,0.951057,0.309017
1.274090,0.956305,0.292372
1.291544,0.961262,0.275637
1.308997,0.965926,0.258819
1.326450,0.970296,0.241922
1.343904,0.974370,0.224951
1.361357,0.978148,0.207912
1.378810,0.981627,0.190809
1.396263,0.984808,0.173648
1.413717,0.987688,0.156434
1.431170,0.990268,0.139173
1.448623,0.992546,0.121869
1.466077,0.994522,0.104528
1.483530,0.996195,0.087156
1.500983,0.997564,0.069756
1.518436,0.998630,0.052336
1.535890,0.999391,0.034899
1.553343,0.999848,0.017452
1.570796,1.000000,0.000000
1.588250,0.999848,-0.017452
1.605703,0.999391,-0.034899
1.623156,0.998630,-0.052336
1.640609,0.997564,-0.069756
1.658063,0.996195,-0.087156
1.675516,0.994522,-0.104528
1.692969,0.992546,-0.121869
1.710423,0.990268,-0.139173
1.727876,0.987688,-0.156434
1.745329,0.984808,-0.173648
1.762783,0.981627,-0.190809
1.780236,0.978148,-0.207912
1.797689,0.974370,-0.224951
1.815142,0.970296,-0.241922
1.832596,0.965926,-0.258819
1.850049,0.961262,-0.275637
1.867502,0.956305,-0.292372
1.884956,0.951057,-0.309017
1.902409,0.945519,-0.325568
1.919862,0.939693,-0.342020
1.937315,0.933580,-0.358368
1.954769,0.927184,-0.374607
1.972222,0.920505,-0.390731
1.989675,0.913545,-0.406737
2.007129,0.906308,-0.422618
2.024582,0.898794,-0.438371
2.042035,0.891007,-0.453990
2.059489,0.882948,-0.469472
2.076942,0.874620,-0.484810
2.094395,0.866025,-0.500000
2.111848,0.857167,-0.515038
2.129302,0.848048,-0.529919
2.146755,0.838671,-0.544639
2.164208,0.829038,-0.559193
2.181662,0.819152,-0.573576
2.199115,0.809017,-0.587785
2.216568,0.798636,-0.601815
2.234021,0.788011,-0.615661
2.251475,0.777146,-0.629320
2.268928,0.766044,-0.642788
2.286381,0.754710,-0.656059
2.303835,0.743145,-0.669131
2.321288,0.731354,-0.681998
2.338741,0.719340,-0.694658
2.356194,0.707107,-0.707107
2.373648,0.694658,-0.719340
2.391101,0.681998,-0.731354
2.408554,0.669131,-0.743145
2.426008,0.656059,-0.754710
2.443461,0.642788,-0.766044
2.460914,0.629320,-0.777146
2.478368,0.615661,-0.788011
2.495821,0.601815,-0.798636
2.513274,0.587785,-0.809017
2.530727,0.573576,-0.819152
2.548181,0.559193,-0.829038
2.565634,0.544639,-0.838671
2.583087,0.529919,-0.848048
2.600541,0.515038,-0.857167
2.617994,0.500000,-0.866025
2.635447,0.484810,-0.874620
2.652900,0.469472,-0.882948
2.670354,0.453990,-0.891007
2.687807,0.438371,-0.898794
2.705260,0.422618,-0.906308
2.722714,0.406737,-0.913545
2.740167,0.390731,-0.920505
2.757620,0.374607,-0.927184
2.775074,0.358368,-0.933580
2.792527,0.342020,-0.939693
2.809980,0.325568,-0.945519
2.827433,0.309017,-0.951057
2.844887,0.292372,-0.956305
2.862340,0.275637,-0.961262
2.879793,0.258819,-0.965926
2.897247,0.241922,-0.970296
2.914700,0.224951,-0.974370
2.932153,0.207912,-0.978148
2.949606,0.190809,-0.981627
2.967060,0.173648,-0.984808
2.984513,0.156434,-0.987688
3.001966,0.139173,-0.990268
3.019420,0.121869,-0.992546
3.036873,0.104528,-0.994522
3.054326,0.087156,-0.996195
3.071779,0.069756,-0.997564
3.089233,0.052336,-0.998630
3.106686,0.034899,-0.999391
3.124139,0.017452,-0.999848
3.141593,0.000000,-1.000000
